Location,Lat,Long,Comment
Bountiful,40.889390,-111.880771,Residence
Ogden,41.223000,-111.973830,Visit
Bear Lake,42.029924,-111.332197,Visit
Provo,40.233844,-111.658534,Visit
Six Flags,34.456151,-118.571382,Visit
Nottsberry Farm,33.867404,-117.998139,Visit
Star Valley,42.971389,-110.955556,Visit
Jackson Hole,43.479929,-110.762428,Visit
Pamona,34.055103,-117.749991,Visit
Las Vegas,36.169941,-115.139830,Visit
Toronto,43.677718,-79.624820,Airport
Windsor,42.314937,-83.036363,Residence
London,42.984923,-81.245277,Visit
Chatham,42.404803,-82.191038,Visit
Georgetown,43.650205,-79.903624,Residence
Brampton,43.731548,-79.762418,Visit
Mississauga,43.589045,-79.644120,Visit
Guelph,43.544805,-80.248167,Residence
Kitchener,43.450301,-80.483192,Visit
St. Catharines,43.159374,-79.246863,Residence
Hamilton,43.255721,-79.871102,Visit
Burlington,43.325520,-79.799032,Visit
Niagara Falls,43.086717,-79.066509,Visit
Reno,39.529633,-119.813803,Visit
Roseville,38.752124,-121.288006,Visit
Sacramento,38.581572,-121.494400,Visit
Logan,41.736980,-111.833836,Visit
Pocatello,42.871303,-112.445534,Visit
Blackfoot,43.190471,-112.344977,Visit
Albuquerque,35.085334,-106.605553,Visit
Amarillo,35.221997,-101.831297,Visit
Lewisville,33.046233,-96.994174,Residence
The Colony,33.080608,-96.892831,Residence
Lubbock,33.577863,-101.855166,Visit
St. George,37.096528,-113.568416,Visit
Phoenix,33.448377,-112.074037,Visit
Rexburg,43.823110,-111.792424,Residence
Denver,39.739236,-104.990251,Visit
Springfield,37.208957,-93.292299,Visit
Powder Springs,33.859549,-84.683824,Residence
Carrollton,33.580110,-85.076611,Visit
Knoxville,35.960638,-83.920739,Visit
Rockville,39.083997,-77.152758,Visit
Nashville,36.162664,-86.781602,Visit
Birmingham,33.520661,-86.802490,Visit
St. Paul,44.953703,-93.089958,Interview
San Antonio,29.424122,-98.493628,Interview
Chattanooga,35.045630,-85.309680,Visit
Louisville,38.252665,-85.758456,Interview
Baltimore,39.290385,-76.612189,Visit
Hartford,41.763711,-72.685093,Visit
Columbia,38.951705,-92.334072,Visit
Olathe,38.881396,-94.819128,Residence
Lawrence,38.971669,-95.235250,Visit
St.Louis,38.627003,-90.199404,Visit
San Francisco,37.774929,-122.419416,Visit
Lees Summit,38.910841,-94.382172,Residence
Indianapolis,39.768403,-86.158068,Interview
Minneapolis,44.977753,-93.265011,Interview
LaGuardia,40.776927,-73.873966,Airport
Princeton,40.357298,-74.667223,Interview
Chicago,41.878114,-87.629798,Visit
Berkeley,37.871593,-122.272747,Visit
LAX,33.941589,-118.408530,Airport
Olvie Branch,34.961760,-89.829532,Visit
Memphis,35.149534,-90.048980,Visit
Boston,42.360082,-71.058880,Visit
Ann Arbor,42.280826,-83.743038,Visit
